
----------------------------------
Learning...
0: w1=1.000000, w2=1.000000, w3=1.000000
90: cost=0.468079, w1=-0.603272, w2=-0.376475, w3=0.754734
91: cost=0.466319, w1=-0.615948, w2=-0.377246, w3=0.758934
92: cost=0.464574, w1=-0.628582, w2=-0.377989, w3=0.763093
93: cost=0.462842, w1=-0.641175, w2=-0.378706, w3=0.767209
94: cost=0.461125, w1=-0.653726, w2=-0.379397, w3=0.771284
95: cost=0.459422, w1=-0.666236, w2=-0.380062, w3=0.775318
96: cost=0.457732, w1=-0.678704, w2=-0.380702, w3=0.779313
97: cost=0.456055, w1=-0.691132, w2=-0.381317, w3=0.783268
98: cost=0.454392, w1=-0.703519, w2=-0.381908, w3=0.787184
99: cost=0.452742, w1=-0.715865, w2=-0.382476, w3=0.791063
100: cost=0.451105, w1=-0.728172, w2=-0.383020, w3=0.794903
101: cost=0.449481, w1=-0.740438, w2=-0.383542, w3=0.798707
102: cost=0.447870, w1=-0.752665, w2=-0.384041, w3=0.802474
103: cost=0.446270, w1=-0.764852, w2=-0.384519, w3=0.806205
104: cost=0.444683, w1=-0.777000, w2=-0.384975, w3=0.809901
105: cost=0.443109, w1=-0.789108, w2=-0.385410, w3=0.813562
106: cost=0.441546, w1=-0.801178, w2=-0.385824, w3=0.817189
107: cost=0.439995, w1=-0.813209, w2=-0.386218, w3=0.820782
108: cost=0.438455, w1=-0.825201, w2=-0.386593, w3=0.824341
109: cost=0.436928, w1=-0.837155, w2=-0.386948, w3=0.827868
110: cost=0.435411, w1=-0.849071, w2=-0.387284, w3=0.831362
111: cost=0.433906, w1=-0.860949, w2=-0.387601, w3=0.834825
112: cost=0.432412, w1=-0.872789, w2=-0.387900, w3=0.838256
113: cost=0.430929, w1=-0.884592, w2=-0.388181, w3=0.841656
114: cost=0.429457, w1=-0.896357, w2=-0.388445, w3=0.845025
115: cost=0.427995, w1=-0.908086, w2=-0.388691, w3=0.848364
116: cost=0.426544, w1=-0.919777, w2=-0.388920, w3=0.851674
117: cost=0.425104, w1=-0.931432, w2=-0.389132, w3=0.854954
118: cost=0.423674, w1=-0.943051, w2=-0.389329, w3=0.858206
119: cost=0.422254, w1=-0.954633, w2=-0.389509, w3=0.861429
120: cost=0.420844, w1=-0.966179, w2=-0.389674, w3=0.864624
121: cost=0.419444, w1=-0.977688, w2=-0.389823, w3=0.867792
122: cost=0.418054, w1=-0.989163, w2=-0.389957, w3=0.870932
123: cost=0.416674, w1=-1.000602, w2=-0.390076, w3=0.874045
124: cost=0.415303, w1=-1.012005, w2=-0.390181, w3=0.877132
125: cost=0.413942, w1=-1.023373, w2=-0.390272, w3=0.880193
126: cost=0.412591, w1=-1.034707, w2=-0.390348, w3=0.883228
127: cost=0.411249, w1=-1.046005, w2=-0.390411, w3=0.886238
128: cost=0.409916, w1=-1.057269, w2=-0.390461, w3=0.889222
129: cost=0.408592, w1=-1.068499, w2=-0.390497, w3=0.892182
130: cost=0.407277, w1=-1.079694, w2=-0.390520, w3=0.895117
131: cost=0.405971, w1=-1.090855, w2=-0.390531, w3=0.898029
132: cost=0.404674, w1=-1.101983, w2=-0.390529, w3=0.900917
133: cost=0.403386, w1=-1.113076, w2=-0.390515, w3=0.903781
134: cost=0.402106, w1=-1.124137, w2=-0.390489, w3=0.906622
135: cost=0.400835, w1=-1.135164, w2=-0.390451, w3=0.909441
136: cost=0.399573, w1=-1.146157, w2=-0.390402, w3=0.912237
137: cost=0.398318, w1=-1.157118, w2=-0.390341, w3=0.915011
138: cost=0.397072, w1=-1.168046, w2=-0.390269, w3=0.917763
139: cost=0.395835, w1=-1.178942, w2=-0.390187, w3=0.920493
140: cost=0.394605, w1=-1.189805, w2=-0.390093, w3=0.923203
141: cost=0.393383, w1=-1.200635, w2=-0.389990, w3=0.925891
142: cost=0.392170, w1=-1.211434, w2=-0.389876, w3=0.928559
143: cost=0.390964, w1=-1.222201, w2=-0.389752, w3=0.931206
144: cost=0.389766, w1=-1.232936, w2=-0.389618, w3=0.933833
145: cost=0.388576, w1=-1.243639, w2=-0.389474, w3=0.936440
146: cost=0.387393, w1=-1.254311, w2=-0.389321, w3=0.939027
147: cost=0.386218, w1=-1.264951, w2=-0.389158, w3=0.941595
148: cost=0.385051, w1=-1.275561, w2=-0.388987, w3=0.944144
149: cost=0.383890, w1=-1.286140, w2=-0.388806, w3=0.946674
150: cost=0.382738, w1=-1.296687, w2=-0.388617, w3=0.949186
151: cost=0.381592, w1=-1.307204, w2=-0.388419, w3=0.951679
152: cost=0.380454, w1=-1.317691, w2=-0.388212, w3=0.954154
153: cost=0.379322, w1=-1.328148, w2=-0.387998, w3=0.956611
154: cost=0.378198, w1=-1.338574, w2=-0.387775, w3=0.959051
155: cost=0.377081, w1=-1.348970, w2=-0.387544, w3=0.961473
156: cost=0.375971, w1=-1.359337, w2=-0.387305, w3=0.963877
157: cost=0.374867, w1=-1.369673, w2=-0.387059, w3=0.966265
158: cost=0.373771, w1=-1.379981, w2=-0.386805, w3=0.968636
159: cost=0.372681, w1=-1.390259, w2=-0.386544, w3=0.970991
160: cost=0.371598, w1=-1.400507, w2=-0.386276, w3=0.973329
161: cost=0.370521, w1=-1.410727, w2=-0.386000, w3=0.975651
162: cost=0.369451, w1=-1.420918, w2=-0.385718, w3=0.977957
163: cost=0.368387, w1=-1.431079, w2=-0.385429, w3=0.980247
164: cost=0.367330, w1=-1.441213, w2=-0.385133, w3=0.982522
165: cost=0.366279, w1=-1.451318, w2=-0.384831, w3=0.984782
166: cost=0.365235, w1=-1.461394, w2=-0.384522, w3=0.987026
167: cost=0.364196, w1=-1.471442, w2=-0.384207, w3=0.989256
168: cost=0.363164, w1=-1.481463, w2=-0.383886, w3=0.991470
169: cost=0.362138, w1=-1.491455, w2=-0.383559, w3=0.993670
170: cost=0.361118, w1=-1.501420, w2=-0.383226, w3=0.995856
171: cost=0.360104, w1=-1.511357, w2=-0.382888, w3=0.998028
172: cost=0.359096, w1=-1.521266, w2=-0.382543, w3=1.000185
173: cost=0.358094, w1=-1.531148, w2=-0.382193, w3=1.002329
174: cost=0.357098, w1=-1.541003, w2=-0.381838, w3=1.004459
175: cost=0.356108, w1=-1.550831, w2=-0.381478, w3=1.006576
176: cost=0.355123, w1=-1.560632, w2=-0.381112, w3=1.008679
177: cost=0.354144, w1=-1.570406, w2=-0.380741, w3=1.010769
178: cost=0.353171, w1=-1.580154, w2=-0.380365, w3=1.012846
179: cost=0.352204, w1=-1.589875, w2=-0.379984, w3=1.014910
180: cost=0.351241, w1=-1.599570, w2=-0.379599, w3=1.016962
181: cost=0.350285, w1=-1.609238, w2=-0.379209, w3=1.019001
182: cost=0.349334, w1=-1.618880, w2=-0.378814, w3=1.021027
183: cost=0.348388, w1=-1.628496, w2=-0.378415, w3=1.023042
184: cost=0.347448, w1=-1.638087, w2=-0.378012, w3=1.025044
185: cost=0.346513, w1=-1.647651, w2=-0.377604, w3=1.027034
186: cost=0.345583, w1=-1.657190, w2=-0.377192, w3=1.029013
187: cost=0.344658, w1=-1.666704, w2=-0.376776, w3=1.030980
188: cost=0.343739, w1=-1.676192, w2=-0.376356, w3=1.032936
189: cost=0.342825, w1=-1.685655, w2=-0.375932, w3=1.034880
190: cost=0.341916, w1=-1.695093, w2=-0.375504, w3=1.036813
191: cost=0.341012, w1=-1.704505, w2=-0.375073, w3=1.038735
192: cost=0.340113, w1=-1.713893, w2=-0.374638, w3=1.040646
193: cost=0.339218, w1=-1.723256, w2=-0.374199, w3=1.042546
194: cost=0.338329, w1=-1.732595, w2=-0.373757, w3=1.044436
195: cost=0.337445, w1=-1.741909, w2=-0.373311, w3=1.046315
196: cost=0.336565, w1=-1.751199, w2=-0.372863, w3=1.048183
197: cost=0.335691, w1=-1.760464, w2=-0.372411, w3=1.050042
198: cost=0.334821, w1=-1.769705, w2=-0.371955, w3=1.051890
199: cost=0.333956, w1=-1.778922, w2=-0.371497, w3=1.053728
200: cost=0.333096, w1=-1.788116, w2=-0.371036, w3=1.055556
201: cost=0.332240, w1=-1.797285, w2=-0.370572, w3=1.057374
202: cost=0.331389, w1=-1.806431, w2=-0.370104, w3=1.059183
203: cost=0.330542, w1=-1.815553, w2=-0.369635, w3=1.060982
204: cost=0.329700, w1=-1.824651, w2=-0.369162, w3=1.062772
205: cost=0.328862, w1=-1.833727, w2=-0.368687, w3=1.064552
206: cost=0.328029, w1=-1.842779, w2=-0.368209, w3=1.066323
207: cost=0.327201, w1=-1.851808, w2=-0.367729, w3=1.068085
208: cost=0.326376, w1=-1.860814, w2=-0.367246, w3=1.069838
209: cost=0.325557, w1=-1.869797, w2=-0.366761, w3=1.071582
210: cost=0.324741, w1=-1.878757, w2=-0.366273, w3=1.073318
211: cost=0.323930, w1=-1.887694, w2=-0.365783, w3=1.075044
212: cost=0.323123, w1=-1.896609, w2=-0.365291, w3=1.076762
213: cost=0.322320, w1=-1.905502, w2=-0.364797, w3=1.078472
214: cost=0.321521, w1=-1.914372, w2=-0.364301, w3=1.080173
215: cost=0.320727, w1=-1.923220, w2=-0.363803, w3=1.081866
216: cost=0.319937, w1=-1.932046, w2=-0.363303, w3=1.083551
217: cost=0.319151, w1=-1.940849, w2=-0.362801, w3=1.085227
218: cost=0.318368, w1=-1.949631, w2=-0.362297, w3=1.086896
219: cost=0.317590, w1=-1.958391, w2=-0.361791, w3=1.088556
220: cost=0.316816, w1=-1.967129, w2=-0.361283, w3=1.090209
221: cost=0.316046, w1=-1.975845, w2=-0.360774, w3=1.091854
222: cost=0.315280, w1=-1.984540, w2=-0.360263, w3=1.093492
223: cost=0.314517, w1=-1.993213, w2=-0.359751, w3=1.095122
224: cost=0.313759, w1=-2.001865, w2=-0.359237, w3=1.096744
225: cost=0.313005, w1=-2.010496, w2=-0.358722, w3=1.098359
226: cost=0.312254, w1=-2.019106, w2=-0.358205, w3=1.099967
227: cost=0.311507, w1=-2.027694, w2=-0.357687, w3=1.101568
228: cost=0.310764, w1=-2.036262, w2=-0.357167, w3=1.103161
229: cost=0.310024, w1=-2.044809, w2=-0.356646, w3=1.104747
230: cost=0.309289, w1=-2.053335, w2=-0.356124, w3=1.106327
231: cost=0.308556, w1=-2.061840, w2=-0.355601, w3=1.107899
232: cost=0.307828, w1=-2.070325, w2=-0.355076, w3=1.109465
233: cost=0.307103, w1=-2.078789, w2=-0.354551, w3=1.111024
234: cost=0.306382, w1=-2.087233, w2=-0.354024, w3=1.112577
235: cost=0.305665, w1=-2.095657, w2=-0.353496, w3=1.114122
236: cost=0.304950, w1=-2.104060, w2=-0.352968, w3=1.115662
237: cost=0.304240, w1=-2.112443, w2=-0.352438, w3=1.117195
238: cost=0.303533, w1=-2.120806, w2=-0.351907, w3=1.118721
239: cost=0.302829, w1=-2.129150, w2=-0.351376, w3=1.120241
240: cost=0.302129, w1=-2.137473, w2=-0.350844, w3=1.121755
241: cost=0.301432, w1=-2.145777, w2=-0.350311, w3=1.123263
242: cost=0.300739, w1=-2.154061, w2=-0.349777, w3=1.124765
243: cost=0.300049, w1=-2.162325, w2=-0.349242, w3=1.126261
244: cost=0.299363, w1=-2.170570, w2=-0.348707, w3=1.127751
245: cost=0.298679, w1=-2.178795, w2=-0.348171, w3=1.129235
246: cost=0.297999, w1=-2.187001, w2=-0.347635, w3=1.130713
247: cost=0.297323, w1=-2.195188, w2=-0.347098, w3=1.132186
248: cost=0.296649, w1=-2.203356, w2=-0.346560, w3=1.133652
249: cost=0.295979, w1=-2.211505, w2=-0.346022, w3=1.135113
250: cost=0.295312, w1=-2.219635, w2=-0.345483, w3=1.136569
251: cost=0.294648, w1=-2.227745, w2=-0.344944, w3=1.138019
252: cost=0.293987, w1=-2.235837, w2=-0.344405, w3=1.139464
253: cost=0.293330, w1=-2.243911, w2=-0.343865, w3=1.140903
254: cost=0.292675, w1=-2.251965, w2=-0.343325, w3=1.142337
255: cost=0.292024, w1=-2.260001, w2=-0.342784, w3=1.143766
256: cost=0.291376, w1=-2.268019, w2=-0.342244, w3=1.145190
257: cost=0.290731, w1=-2.276018, w2=-0.341703, w3=1.146608
258: cost=0.290088, w1=-2.283999, w2=-0.341161, w3=1.148022
259: cost=0.289449, w1=-2.291962, w2=-0.340620, w3=1.149430
260: cost=0.288813, w1=-2.299906, w2=-0.340078, w3=1.150833
261: cost=0.288180, w1=-2.307833, w2=-0.339536, w3=1.152232
262: cost=0.287549, w1=-2.315741, w2=-0.338994, w3=1.153626
263: cost=0.286922, w1=-2.323632, w2=-0.338452, w3=1.155014
264: cost=0.286298, w1=-2.331504, w2=-0.337910, w3=1.156398
265: cost=0.285676, w1=-2.339359, w2=-0.337368, w3=1.157778
266: cost=0.285057, w1=-2.347196, w2=-0.336826, w3=1.159152
267: cost=0.284441, w1=-2.355016, w2=-0.336284, w3=1.160522
268: cost=0.283828, w1=-2.362818, w2=-0.335742, w3=1.161888
269: cost=0.283218, w1=-2.370602, w2=-0.335200, w3=1.163249
270: cost=0.282611, w1=-2.378369, w2=-0.334658, w3=1.164605
271: cost=0.282006, w1=-2.386119, w2=-0.334116, w3=1.165958
272: cost=0.281404, w1=-2.393852, w2=-0.333574, w3=1.167305
273: cost=0.280805, w1=-2.401567, w2=-0.333032, w3=1.168649
274: cost=0.280208, w1=-2.409266, w2=-0.332491, w3=1.169988
275: cost=0.279614, w1=-2.416947, w2=-0.331950, w3=1.171323
276: cost=0.279023, w1=-2.424611, w2=-0.331409, w3=1.172653
277: cost=0.278435, w1=-2.432258, w2=-0.330868, w3=1.173980
278: cost=0.277849, w1=-2.439889, w2=-0.330327, w3=1.175303
279: cost=0.277266, w1=-2.447503, w2=-0.329787, w3=1.176621
