
----------------------------------
Learning...
29: cost=0.135474, w1=0.465783, w2=0.283932
30: cost=0.134473, w1=0.467760, w2=0.282882
31: cost=0.133480, w1=0.469730, w2=0.281834
32: cost=0.132493, w1=0.471693, w2=0.280791
33: cost=0.131514, w1=0.473649, w2=0.279752
34: cost=0.130543, w1=0.475597, w2=0.278716
35: cost=0.129578, w1=0.477538, w2=0.277685
36: cost=0.128620, w1=0.479472, w2=0.276657
37: cost=0.127670, w1=0.481399, w2=0.275633
38: cost=0.126727, w1=0.483318, w2=0.274613
39: cost=0.125790, w1=0.485231, w2=0.273596
40: cost=0.124861, w1=0.487136, w2=0.272584
41: cost=0.123938, w1=0.489034, w2=0.271575
42: cost=0.123022, w1=0.490926, w2=0.270569
43: cost=0.122113, w1=0.492810, w2=0.269568
44: cost=0.121211, w1=0.494687, w2=0.268570
45: cost=0.120315, w1=0.496558, w2=0.267576
46: cost=0.119426, w1=0.498421, w2=0.266586
47: cost=0.118544, w1=0.500278, w2=0.265599
48: cost=0.117668, w1=0.502127, w2=0.264616
49: cost=0.116799, w1=0.503970, w2=0.263636
50: cost=0.115935, w1=0.505806, w2=0.262660
51: cost=0.115079, w1=0.507635, w2=0.261688
52: cost=0.114229, w1=0.509458, w2=0.260720
53: cost=0.113384, w1=0.511274, w2=0.259755
54: cost=0.112547, w1=0.513083, w2=0.258793
55: cost=0.111715, w1=0.514885, w2=0.257835
56: cost=0.110889, w1=0.516681, w2=0.256881
57: cost=0.110070, w1=0.518470, w2=0.255930
58: cost=0.109257, w1=0.520252, w2=0.254983
59: cost=0.108449, w1=0.522028, w2=0.254039
60: cost=0.107648, w1=0.523797, w2=0.253099
61: cost=0.106853, w1=0.525559, w2=0.252162
62: cost=0.106063, w1=0.527316, w2=0.251228
63: cost=0.105279, w1=0.529065, w2=0.250299
64: cost=0.104501, w1=0.530808, w2=0.249372
65: cost=0.103729, w1=0.532545, w2=0.248449
66: cost=0.102963, w1=0.534275, w2=0.247529
67: cost=0.102202, w1=0.535999, w2=0.246613
68: cost=0.101447, w1=0.537717, w2=0.245700
69: cost=0.100697, w1=0.539428, w2=0.244791
70: cost=0.099953, w1=0.541132, w2=0.243885
71: cost=0.099215, w1=0.542831, w2=0.242982
72: cost=0.098482, w1=0.544523, w2=0.242083
73: cost=0.097754, w1=0.546209, w2=0.241187
74: cost=0.097031, w1=0.547889, w2=0.240294
75: cost=0.096314, w1=0.549562, w2=0.239405
76: cost=0.095603, w1=0.551229, w2=0.238518
77: cost=0.094896, w1=0.552890, w2=0.237636
78: cost=0.094195, w1=0.554545, w2=0.236756
79: cost=0.093499, w1=0.556194, w2=0.235880
80: cost=0.092808, w1=0.557837, w2=0.235007
81: cost=0.092123, w1=0.559474, w2=0.234137
82: cost=0.091442, w1=0.561104, w2=0.233270
83: cost=0.090766, w1=0.562729, w2=0.232407
84: cost=0.090095, w1=0.564347, w2=0.231546
85: cost=0.089430, w1=0.565960, w2=0.230689
86: cost=0.088769, w1=0.567566, w2=0.229835
87: cost=0.088113, w1=0.569167, w2=0.228985
88: cost=0.087462, w1=0.570762, w2=0.228137
89: cost=0.086816, w1=0.572350, w2=0.227293
90: cost=0.086174, w1=0.573933, w2=0.226451
91: cost=0.085537, w1=0.575510, w2=0.225613
92: cost=0.084905, w1=0.577082, w2=0.224778
93: cost=0.084278, w1=0.578647, w2=0.223946
94: cost=0.083655, w1=0.580207, w2=0.223117
95: cost=0.083037, w1=0.581761, w2=0.222291
96: cost=0.082423, w1=0.583309, w2=0.221468
97: cost=0.081814, w1=0.584851, w2=0.220649
98: cost=0.081210, w1=0.586388, w2=0.219832
99: cost=0.080610, w1=0.587919, w2=0.219018
100: cost=0.080014, w1=0.589444, w2=0.218208
